specimen,preservation,genus,species,field_name,lifestyle,site,terrane,country,province,locality,siteN,latitude,longitude,elevation,species_reference,habitat_reference,SIA,BDNF,NXC1,CYTB,ND4,type_locality,id,label
JR366,frozen-alcohol,Cophixalus,verrucosus complex sp.2,C. verrucosus,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Parker 1934,MB field notes,MZ634780,MZ635015,MZ635252,MZ635485,MZ647929,,MB583,MB583-Cophixalus_verrucosus_complex_sp.2
JR367,frozen-alcohol,Cophixalus,verrucosus complex sp.2,C. verrucosus,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Parker 1934,MB field notes,MZ634780,MZ635015,MZ635252,MZ635485,MZ647929,,MB583,MB583-Cophixalus_verrucosus_complex_sp.2
JR277,frozen-alcohol,Austrochaperina C,aff. palmipes.4,A. palmipes,semi-aquatic,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.29426,147.09365,515,Zweifel 1953,Zweifel 1953,MZ634769,MZ635004,MZ635241,MZ635474,MZ647918,,MB475,MB475-Austrochaperina_C_aff._palmipes.4
JR271,frozen-alcohol,Choerophryne,sp.1,Ch. “fast clicker”,scansorial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.295997634,147.0928789,500,,Butler field notes,MZ634794,MZ635029,MZ635266,MZ635499,MZ647943,,BPBM31808,BPBM31808-Choerophryne_sp.1
JR279,frozen-alcohol,Choerophryne,sp.1,Ch. “fast clicker”,scansorial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.295997634,147.0928789,500,,Butler field notes,MZ634794,MZ635029,MZ635266,MZ635499,MZ647943,,BPBM31808,BPBM31808-Choerophryne_sp.1
JR273,frozen-alcohol,Choerophryne,sp.2,Ch. “top camp”,scansorial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.29426,147.09365,515,,Butler field notes,MZ634765,MZ635000,MZ635237,MZ635470,MZ647914,,MB463,MB463-Choerophryne_sp.2
JR276,frozen-alcohol,Choerophryne,sp.2,Ch. “top camp”,scansorial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.29426,147.09365,515,,Butler field notes,MZ634765,MZ635000,MZ635237,MZ635470,MZ647914,,MB463,MB463-Choerophryne_sp.2
JR285,frozen-alcohol,Cophixalus,cf. pipilans.2,C. pipilans,scansorial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.295997634,147.0928789,515,Zweifel 1980,Zweifel 1980A,MZ634792,MZ635027,MZ635264,MZ635497,MZ647941,,BPBM31847,BPBM31847-Cophixalus_cf._pipilans.2
JR280,frozen-alcohol,Paedophryne,swiftorum complex sp.1,P. swiftorum,terrestrial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.29426,147.09365,515,,Butler field notes,MZ634566,MZ634802,MZ635037,MZ635274,,,BPBM31882,BPBM31882-Paedophryne_swiftorum_complex_sp.1
JR282,frozen-alcohol,Paedophryne,swiftorum complex sp.1,P. swiftorum,terrestrial,Cliffside Camp Kamiali,epct,Papua New Guinea,Morobe Province,Bowutu Mts.,30,-7.29426,147.09365,515,,Butler field notes,MZ634566,MZ634802,MZ635037,MZ635274,,,BPBM31882,BPBM31882-Paedophryne_swiftorum_complex_sp.1
JR49,frozen-alcohol,Choerophryne,gunnari,Ch. gunnari,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,Peloso et al. 2016,Menzies 1999,MZ634759,MZ634994,MZ635231,MZ635464,MZ647909,,MB300,MB300-Choerophryne_gunnari
JR26,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR62,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR64,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR65,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR66,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR67,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR83,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR71,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR72,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR74,frozen-alcohol,Cophixalus,sp.1,C. “small toepad”,scansorial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634756,MZ634991,MZ635228,MZ635461,MZ647906,,MB233,MB233-Cophixalus_sp.1
JR10,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR11,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR12,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR14,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR24,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR30,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR56,frozen-alcohol,Paedophryne,sp.1,P. sp.,terrestrial,Maru Ruama,epct,Papua New Guinea,Central Province,Mt. Gerebu,39,-9.465633,147.6414,500,,Butler field notes,MZ634757,MZ634992,MZ635229,MZ635462,MZ647907,,MB291,MB291-Paedophryne_sp.1
JR371,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR372,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR373,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR374,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR375,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR379,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR380,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR381,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR382,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR385,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR386,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR387,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR388,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR389,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR391,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR392,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR393,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR395,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR396,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR398,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR399,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR400,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR405,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR407,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR410,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR413,frozen-alcohol,Cophixalus,variabilis complex sp.3,C. variabiliis,scansorial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2006,Butler field notes,MZ634779,MZ635014,MZ635251,MZ635484,MZ647928,,MB571,MB571-Cophixalus_variabilis_complex_sp.3
JR384,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR394,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR401,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR402,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR403,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR404,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR406,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR408,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR409,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR411,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR412,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR414,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR415,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR416,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR423,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR424,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1
JR425,frozen-alcohol,Cophixalus,desticans complex sp.1,C. desticans,terrestrial,Buyetai,dentrecasteaux,Papua New Guinea,Milne Bay Province,Normanby Island,64,-10.0619,150.98416,2,Kraus & Allison 2009,Butler field notes,MZ634782,MZ635017,MZ635254,MZ635487,MZ647931,,MB617,MB617-Cophixalus_desticans_complex_sp.1